swanlab: swanlab version 0.7.15 is available!  Upgrade: `pip install -U swanlab`
swanlab: Tracking run with swanlab version 0.7.14
swanlab: Run data will be saved locally in 
/data/xiangyuyue/ULLM-zf/fsl-20260209/runs/115_mainonly_10per/swanlog/run-20260412_165611-ipkubxipwutocey6s4wf
c
swanlab: 👋 Hi blacknwhit,welcome to swanlab!
swanlab: Syncing run 115_mainonly_10per to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@blacknwhit/115_grpo_mainonly
swanlab: 🚀 View run at https://swanlab.cn/@blacknwhit/115_grpo_mainonly/runs/ipkubxipwutocey6s4wfc
[train] Backbone params: 0
[train] LoRA-MoE params: 6561792
[train] Det head params: 14875060
[train] Seg head params: 9451531
[train] Cnt head params: 9448456
[main] epoch 1/150 step 101 | loss 2035.4690 | w [15.0, 8.0, 1.0] | train det 0.4614 seg 1.2282 cnt 2018.7227 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 102 | loss 2534.5319 | w [15.0, 8.0, 1.0] | train det 0.3415 seg 1.7607 cnt 2515.3237 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 103 | loss 1932.1440 | w [15.0, 8.0, 1.0] | train det 0.4563 seg 1.2401 cnt 1915.3783 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 104 | loss 1673.5527 | w [15.0, 8.0, 1.0] | train det 0.5380 seg 1.0789 cnt 1656.8512 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 105 | loss 1785.9882 | w [15.0, 8.0, 1.0] | train det 0.5210 seg 0.6477 cnt 1772.9917 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 106 | loss 1672.4265 | w [15.0, 8.0, 1.0] | train det 0.4215 seg 1.2214 cnt 1656.3325 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 107 | loss 1555.6810 | w [15.0, 8.0, 1.0] | train det 0.6668 seg 1.5578 cnt 1533.2163 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 108 | loss 1497.1087 | w [15.0, 8.0, 1.0] | train det 0.6861 seg 1.2235 cnt 1477.0299 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 109 | loss 1336.9613 | w [15.0, 8.0, 1.0] | train det 0.4926 seg 1.2228 cnt 1319.7897 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 110 | loss 1793.5096 | w [15.0, 8.0, 1.0] | train det 0.3060 seg 1.0799 cnt 1780.2808 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 111 | loss 1229.7280 | w [15.0, 8.0, 1.0] | train det 0.5301 seg 0.9375 cnt 1214.2771 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 112 | loss 1263.8448 | w [15.0, 8.0, 1.0] | train det 0.4243 seg 1.2860 cnt 1247.1925 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 113 | loss 1046.8789 | w [15.0, 8.0, 1.0] | train det 0.2819 seg 0.8810 cnt 1035.6017 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 114 | loss 1129.4164 | w [15.0, 8.0, 1.0] | train det 0.4484 seg 0.7108 cnt 1117.0050 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 115 | loss 1013.3081 | w [15.0, 8.0, 1.0] | train det 0.2474 seg 0.7252 cnt 1003.7952 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 116 | loss 902.3053 | w [15.0, 8.0, 1.0] | train det 0.5069 seg 1.1096 cnt 885.8245 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 117 | loss 965.2920 | w [15.0, 8.0, 1.0] | train det 0.3554 seg 0.6976 cnt 954.3798 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 118 | loss 888.9352 | w [15.0, 8.0, 1.0] | train det 0.6024 seg 0.9485 cnt 872.3111 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 119 | loss 777.5396 | w [15.0, 8.0, 1.0] | train det 0.6286 seg 1.1249 cnt 759.1108 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 120 | loss 1102.5430 | w [15.0, 8.0, 1.0] | train det 0.5127 seg 0.4844 cnt 1090.9773 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 121 | loss 850.6290 | w [15.0, 8.0, 1.0] | train det 0.3699 seg 0.9230 cnt 837.6957 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 122 | loss 781.5478 | w [15.0, 8.0, 1.0] | train det 1.2918 seg 0.6214 cnt 757.1998 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 123 | loss 721.3453 | w [15.0, 8.0, 1.0] | train det 0.3723 seg 0.5759 cnt 711.1538 | pairs det_seg 0 det_cnt 0 seg_cnt 0
[main] epoch 1/150 step 124 | loss 784.4239 | w [15.0, 8.0, 1.0] | train det 0.1900 seg 0.8411 cnt 774.8445 | pairs det_seg 0 det_cnt 0 seg_cnt 0
